next_meeting,word_count,next_rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,unscheduled,forecast,confcall,Rate,RateDiff,RateDecision,ChairPerson,RateChanged,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff,next_decision
1993-05-18,5253.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993770718574524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.0,0.0,2,,0,1993-01-01,9857.185,0.16697909194549318,3.319981753469755,1993-01-01,10090.66224,0.6459615377785035,2.5668390536564525,1993-03-01,70.723,0.2168060082187981,2.6980323821970584,1993-04-01,143.8,0.3489183531053733,3.1563845050215247,1993-04-01,-7.1,-0.09999999999999964,0.3000000000000007,1993-04-01,110296.0,302.0,1777.0,1993-04-01,50.2,-3.299999999999997,-2.3999999999999986,,,,,1993-04-01,122913.0,2.2222037408205186,4.026033379599851,1993-04-01,701.0,16.44518272425249,28.388278388278387,3.8765568424495633,2.7060651116035395,2.144090233259469,0.8765568424495633,-0.29393488839646054,-0.8559097667405311,-0.41294000153260235,-0.651462156870819,0.09771932353062285,2.0
1993-07-07,4414.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992473125457764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.0,0.0,2,,0,1993-01-01,9857.185,0.16697909194549318,3.319981753469755,1993-01-01,10090.66224,0.6459615377785035,2.5668390536564525,1993-05-01,71.169,0.3383665355496269,2.863213273978139,1993-05-01,144.2,0.27816411682891323,3.2211882605583395,1993-06-01,-7.0,0.09999999999999964,0.7999999999999998,1993-06-01,110749.0,181.0,2034.0,1993-06-01,49.6,-1.6000000000000014,-4.0,,,,,1993-06-01,123463.0,-0.21982462520709578,4.151271279377773,1993-06-01,653.0,4.313099041533546,9.563758389261745,4.124328180121184,2.95383644927516,2.106924532608726,1.124328180121184,-0.04616355072483991,-0.8930754673912742,0.24777133767162063,0.24777133767162063,-0.037165700650743094,2.0
1993-08-17,6309.0,3.0,0.0,0.0,0.04178110882639885,0.0,0.0,0.0,0.9577265381813049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.0,0.0,2,,0,1993-04-01,9914.565,0.5821134532830724,2.806667390440774,1993-04-01,10157.04963,0.6579091482899528,2.6024093615027324,1993-06-01,71.237,0.09554721859236162,2.8811992721180646,1993-07-01,144.5,0.1386001386001307,2.8469750889679712,1993-07-01,-6.9,0.09999999999999964,0.7999999999999998,1993-07-01,111055.0,306.0,2262.0,1993-07-01,50.2,0.6000000000000014,-3.6999999999999957,,,,,1993-07-01,125082.0,1.3113240404007678,5.072074191055409,1993-07-01,655.0,0.3062787136294028,4.4657097288676235,4.113642851114616,2.905486794052134,2.1141769808921795,1.1136428511146157,-0.09451320594786594,-0.8858230191078205,-0.010685329006568267,-0.04834965522302603,0.007252448283453727,2.0
1993-09-21,4220.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992035627365112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.0,0.0,2,,0,1993-04-01,9914.565,0.5821134532830724,2.806667390440774,1993-04-01,10157.04963,0.6579091482899528,2.6024093615027324,1993-07-01,71.385,0.20775720482335072,2.7077967857502627,1993-08-01,144.8,0.20761245674741272,2.840909090909091,1993-08-01,-6.8,0.10000000000000053,0.7999999999999998,1993-08-01,111206.0,151.0,2281.0,1993-08-01,50.7,0.5,-2.6999999999999957,,,,,1993-08-01,124798.0,-0.22705105450824262,4.717392763643686,1993-08-01,645.0,-1.5267175572519083,1.4150943396226416,3.853539121562913,2.6453830645004315,2.1531925403249352,0.8535391215629131,-0.3546169354995685,-0.8468074596750648,-0.2601037295517026,-0.2601037295517026,0.0390155594327557,2.0
1993-10-05,4517.0,3.0,0.01363341510295868,0.0,0.0,0.03225574269890785,0.0,0.0,0.9535896182060242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,3.0,0.0,2,,0,1993-04-01,9914.565,0.5821134532830724,2.806667390440774,1993-04-01,10157.04963,0.6579091482899528,2.6024093615027324,1993-08-01,71.518,0.18631365132730343,2.8044906349274914,1993-08-01,144.8,0.20761245674741272,2.840909090909091,1993-09-01,-6.7,0.09999999999999964,0.8999999999999995,1993-09-01,111448.0,242.0,2489.0,1993-09-01,50.8,0.09999999999999432,1.0999999999999943,,,,,1993-09-01,125361.0,0.45112902450359776,4.417901496789025,1993-09-01,726.0,12.558139534883722,11.692307692307692,3.9985798953287555,2.790423838266274,2.131436424260059,0.9985798953287555,-0.20957616173372617,-0.868563575739941,0.14504077376584235,0.14504077376584235,-0.021756116064876263,2.0
1993-12-21,5382.0,3.0,0.0,0.023943040519952774,0.0,0.0,0.0,0.0,0.9737499952316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.0,0.0,2,,0,1993-07-01,9961.873,0.4771565873036193,2.2865157608157163,1993-07-01,10224.30413,0.662146021235902,2.6306918530040737,1993-10-01,71.744,0.16614310645724226,2.5676216618059224,1993-11-01,146.0,0.27472527472527863,2.744546094299793,1993-11-01,-6.6,0.20000000000000018,0.8000000000000007,1993-11-01,111984.0,251.0,2712.0,1993-11-01,53.8,0.3999999999999986,0.19999999999999574,,,,,1993-11-01,126539.0,0.7419968632321446,5.151238158550773,1993-11-01,769.0,9.232954545454545,25.2442996742671,3.5513056056336474,2.2511787185584105,2.212323192216238,0.5513056056336474,-0.7488212814415895,-0.7876768077837619,-0.3355652110798495,-0.3355652110798495,0.050334781661977246,2.0
1994-02-04,5206.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.9993341565132141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,3.25,0.25,3,,1,1993-10-01,10097.362,1.3600755600879433,2.607615494464687,1993-10-01,10292.57961,0.6677763017599149,2.659919330783524,1993-12-01,71.96,0.04448893337781737,2.461875809827568,1993-12-01,146.3,0.2054794520548023,2.8109627547434997,1994-01-01,-6.6,-0.09999999999999964,0.7000000000000002,1994-01-01,112595.0,281.0,2801.0,1994-01-01,56.0,0.3999999999999986,0.20000000000000284,,,,,1994-01-01,126550.0,-0.6742066886954611,3.200815494393476,1994-01-01,619.0,-23.76847290640394,3.859060402684564,3.735363325867059,2.7779129369927666,2.1333130594510847,0.7353633258670591,-0.22208706300723335,-0.8666869405489153,0.18405772023341171,0.5267342184343562,-0.07901013276515334,2.0
1994-02-28,4216.5,3.25,0.08507625013589859,0.0,0.0,0.0,0.0,0.09285037964582443,0.8102650046348572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,3.25,0.0,2,,0,1993-10-01,10097.362,1.3600755600879433,2.607615494464687,1993-10-01,10292.57961,0.6677763017599149,2.659919330783524,1993-12-01,71.96,0.04448893337781737,2.461875809827568,1994-01-01,146.3,0.0,2.450980392156863,1994-01-01,-6.6,-0.09999999999999964,0.7000000000000002,1994-01-01,112595.0,281.0,2801.0,1994-01-01,56.0,0.3999999999999986,0.20000000000000284,,,,,1994-01-01,126550.0,-0.6742066886954611,3.200815494393476,1994-01-01,619.0,-23.76847290640394,3.859060402684564,3.735363325867059,2.7779129369927666,2.3458130594510846,0.4853633258670591,-0.47208706300723335,-0.9041869405489154,0.0,0.0,0.2124999999999999,3.0
1994-04-18,3898.0,3.75,0.08248364428679149,0.004168618780871232,0.004170097100238006,0.004168356458346049,0.004173660650849342,0.07651206851005554,0.8197674055894216,0.004173532128334045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,3.75,0.25,3,,1,1993-10-01,10097.362,1.3600755600879433,2.607615494464687,1993-10-01,10292.57961,0.6677763017599149,2.659919330783524,1994-02-01,72.173,0.21522397178483313,2.2715034717302096,1994-03-01,147.1,0.2726653033401539,2.6517794836008255,1994-03-01,-6.5,0.09999999999999964,0.5,1994-03-01,113242.0,461.0,3248.0,1994-03-01,56.9,0.3999999999999986,3.3999999999999986,,,,,1994-03-01,130237.0,1.5865463366691888,8.313304114237239,1994-03-01,747.0,8.892128279883382,24.086378737541526,3.449804818721022,2.4923544298467295,2.6011468355229908,-0.05019518127897804,-1.0076455701532705,-0.8988531644770092,0.036061908809203125,0.036061908809203125,-0.005409286321380602,2.0
1994-05-17,37.0,4.25,0.29490238428115845,0.013895705342292786,0.013900989666581154,0.013894855044782162,0.013912351801991463,0.13672921061515808,0.49885323643684387,0.013911216519773006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,4.25,0.5,3,,1,1994-01-01,10195.338,0.9703128401259713,3.4305230144305936,1994-01-01,10361.54122,0.6700128890234396,2.684451957238433,1994-03-01,72.42,0.3422332451193658,2.3995022835569797,1994-04-01,147.2,0.06798096532970382,2.364394993045881,1994-04-01,-6.4,0.09999999999999964,0.6999999999999993,1994-04-01,113586.0,344.0,3290.0,1994-04-01,57.4,0.5,7.199999999999996,,,,,1994-04-01,130190.0,-0.03608805485384337,5.920447796408842,1994-04-01,692.0,-7.362784471218206,-1.2838801711840229,3.7907316657101333,2.9822099060847975,2.7401685140872805,0.040731665710133313,-0.7677900939152025,-1.0098314859127195,0.34092684698911135,0.489855476238068,0.1390216785642897,3.0
